compatible_string,hardware_model,driver_file,first_version,subsystem
"arm,cryptocell-713-trng",cryptocell-713-trng,drivers/char/hw_random/cctrng.c,n/a,char
"aspeed,ast2400-ibt-bmc",ast2400-ibt-bmc,drivers/char/ipmi/bt-bmc.c,n/a,char
"aspeed,ast2400-kcs-bmc-v2",ast2400-kcs-bmc-v2,drivers/char/ipmi/kcs_bmc_aspeed.c,n/a,char
"aspeed,ast2500-ibt-bmc",ast2500-ibt-bmc,drivers/char/ipmi/bt-bmc.c,n/a,char
"aspeed,ast2500-kcs-bmc-v2",ast2500-kcs-bmc-v2,drivers/char/ipmi/kcs_bmc_aspeed.c,n/a,char
"aspeed,ast2600-ibt-bmc",ast2600-ibt-bmc,drivers/char/ipmi/bt-bmc.c,n/a,char
"aspeed,ast2600-kcs-bmc",ast2600-kcs-bmc,drivers/char/ipmi/kcs_bmc_aspeed.c,n/a,char
"atmel,at91sam9g45-trng",at91sam9g45_config,drivers/char/hw_random/atmel-rng.c,n/a,char
"atmel,at97sc3204",at97sc3204,drivers/char/tpm/tpm_tis.c,n/a,char
"atmel,at97sc3204t",at97sc3204t,drivers/char/tpm/tpm_i2c_atmel.c,n/a,char
"brcm,bcm-nsp-rng",nsp_rng_of_data,drivers/char/hw_random/bcm2835-rng.c,n/a,char
"brcm,bcm2711-rng200",bcm2711-rng200,drivers/char/hw_random/iproc-rng200.c,n/a,char
"brcm,bcm2835-rng",bcm2835-rng,drivers/char/hw_random/bcm2835-rng.c,n/a,char
"brcm,bcm5301x-rng",nsp_rng_of_data,drivers/char/hw_random/bcm2835-rng.c,n/a,char
"brcm,bcm6368-rng",bcm6368-rng,drivers/char/hw_random/bcm2835-rng.c,n/a,char
"brcm,bcm7211-rng200",bcm7211-rng200,drivers/char/hw_random/iproc-rng200.c,n/a,char
"brcm,bcm7278-rng200",bcm7278-rng200,drivers/char/hw_random/iproc-rng200.c,n/a,char
"brcm,bcm74110-rng",bcm74110-rng,drivers/char/hw_random/bcm74110-rng.c,n/a,char
"brcm,iproc-rng200",iproc-rng200,drivers/char/hw_random/iproc-rng200.c,n/a,char
"fsl,imx21-rnga",imx21-rnga,drivers/char/hw_random/mxc-rnga.c,n/a,char
"fsl,imx25-rngb",imx25-rngb,drivers/char/hw_random/imx-rngc.c,n/a,char
"fsl,imx31-rnga",imx31-rnga,drivers/char/hw_random/mxc-rnga.c,n/a,char
"google,cr50",cr50,drivers/char/tpm/tpm_tis_i2c_cr50.c,n/a,char
"hisilicon,histb-rng",histb-rng,drivers/char/hw_random/histb-rng.c,n/a,char
"ibm,opal-ipmi",opal-ipmi,drivers/char/ipmi/ipmi_powernv.c,n/a,char
"ibm,opal-oppanel",opal-oppanel,drivers/char/powernv-op-panel.c,n/a,char
"ibm,power-rng",power-rng,drivers/char/hw_random/powernv-rng.c,n/a,char
"infineon,slb9635tt",slb9635tt,drivers/char/tpm/tpm_i2c_infineon.c,n/a,char
"infineon,slb9645tt",slb9645tt,drivers/char/tpm/tpm_i2c_infineon.c,n/a,char
"infineon,slb9673",slb9673,drivers/char/tpm/tpm_tis_i2c.c,n/a,char
"infineon,tpm_i2c_infineon",tpm_i2c_infineon,drivers/char/tpm/tpm_i2c_infineon.c,n/a,char
"ingenic,jz4780-rng",ID_JZ4780,drivers/char/hw_random/ingenic-rng.c,n/a,char
"ingenic,x1000-rng",ID_X1000,drivers/char/hw_random/ingenic-rng.c,n/a,char
"ingenic,x1830-dtrng",x1830-dtrng,drivers/char/hw_random/ingenic-trng.c,n/a,char
"intel,ixp46x-rng",ixp46x-rng,drivers/char/hw_random/ixp4xx-rng.c,n/a,char
ipmi-bt,ipmi_bt_si_info,drivers/char/ipmi/ipmi_si_platform.c,n/a,char
ipmi-kcs,ipmi_kcs_si_info,drivers/char/ipmi/ipmi_si_platform.c,n/a,char
ipmi-smic,ipmi_smic_si_info,drivers/char/ipmi/ipmi_si_platform.c,n/a,char
"mediatek,mt7623-rng",mt7623-rng,drivers/char/hw_random/mtk-rng.c,n/a,char
"mediatek,mt7986-rng",mt7986-rng,drivers/char/hw_random/mtk-rng.c,n/a,char
"microchip,sam9x60-trng",sam9x60_config,drivers/char/hw_random/atmel-rng.c,n/a,char
"microsoft,ftpm",ftpm,drivers/char/tpm/tpm_ftpm_tee.c,n/a,char
